property,ID,property_id,active_property,room_type,hotel_name,link,room_id,lastcheck
29,9805,632,Hotel Grand Victorian,QQ,Hotel Grand Victorian QQ,https://www.expedia.com/Branson-Hotels-Hotel-Grand-Victorian.h26675.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=Hotel+Grand+Victorian&&exp_dp=84.96&exp_ts=1522852246524&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,54425,TRUE
30,20088,724,Lodge of the Ozarks,King Room,Lodge of the Ozarks K w/ Jetted Tub,https://www.expedia.com/Branson-Hotels-Lodge-Of-The-Ozarks.h1885263.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=Lodge+Of+The+Ozarks&&exp_dp=86.95&exp_ts=1522852279575&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,201891390,
,20092,724,Lodge of the Ozarks,King Room,Lodge of the Ozarks King,,202480113,
,20086,724,Lodge of the Ozarks,QQ Room ,Lodge of the Ozarks QQ,,201891391,
,20087,724,Lodge of the Ozarks,QQ Room ,Lodge of the Ozarks QQ w/ Jetted Tub,,201980645,TRUE
31,7302,812,Lynina Inn,King Jac,Lynina Inn K Jacuzzi,https://www.expedia.com/Branson-Hotels-Lynina-Inn.h5140794.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=Lynina+Inn&&exp_dp=75.95&exp_ts=1522852296964&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,201056648,
,4543,812,Lynina Inn,King Room,Lynina Inn King,,,
,4539,812,Lynina Inn,QQ ,Lynina Inn QQ,,200176481,TRUE
32,9928,839,Ozark Valley Inn,Family Suite,Ozark Valley Inn Family Suite,https://www.expedia.com/Branson-Hotels-Ozark-Valley-Inn.h3561442.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=Ozark+Valley+Inn&&exp_dp=42.43&exp_ts=1522852321146&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,200360205,
,9848,839,Ozark Valley Inn,King Jac,Ozark Valley Inn K Jacuzzi,,,
,10163,839,Ozark Valley Inn,QQ Room ,Ozark Valley Inn King (w/ Recliner or Sofa),,200360201,
,9963,839,Ozark Valley Inn,King Room,Ozark Valley King (2nd Floor),,200684332,
,9962,839,Ozark Valley Inn,QQ Room ,Ozark Valley QQ (2nd Floor),,200360117,TRUE
33,20072,9423,Quality Inn West,QQ Room ,Quality Inn West QQ,https://www.expedia.com/Branson-Hotels-Quality-Inn-West.h6817.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=quality+inn&&exp_dp=84.99&exp_ts=1522852549174&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,200042794,TRUE
